route name,sector name,grade,ascents,stars
El minivarano,Arrastradero,6A+,62,4
Pussman,Arrastradero,7A,62,3
El jirafa,Entre aguas,7B,62,4
la cornisa,Arrastradero,7A,61,4
TEC-B10-L2,Techos,6B,61,3
Regleton,La fuente,6A+,61,4
La Oveja Negra,Parking,6C,59,4
TEC-B18-L7,Techos,6A,59,4
Los Presuntos,Parking,6B,59,3
par-b8-l1,Parking,6B,59,3
La campana,Techos,7B+,58,2
TEC-B18-L9,Techos,6B,58,3
El Camaléon,Cabrerizo,5C,58,3
highway to heaven,Cabrerizo,7B+,58,3
el orejas de las regletas,Arrastradero,8A,57,3
maximo exponente,Valle de la madera,7A,57,2
techo don pepo,Unknown Crag,7A+,57,4
Implakados,Parking,6B+,57,2
Ojos negros,SOL,7B,56,3
Zarzaparrilla,Parking,8A+,56,4
o'dinamismo,Techos,7C,56,3
Los jabaloyas,SOL,7B,55,4
Dizdira,Techos,7C,54,4
Travesía de Don Pepo,Techo don pepo,7A,54,3
ARR-B36-L2,Arrastradero,6A+,54,3
El duende de los cepillos,Arrastradero,7B,54,3
gitanic,Tierra media,7B,54,3
ENA-B1-L3,Entre aguas,6A+,53,3
Bender el que ofender,La fuente,6A,53,4
TEC-B23-L1,Techos,6C,53,3
Percebe conection,Psicokiller,7A,53,3
Pilas Chinas,La fuente,6B+,53,3
TEC-B22-L1,Techos,6A,53,3
CAB-B5-L2,Cabrerizo,6A,53,3
Abre los ojos,Arrastradero,7C,53,3
PAR-B6-L2,Parking,6B+,53,4
TEC-B11-L2,Techos,6B,52,4
el capitan cavernicola,Arrastradero,7A+,52,3
Motivos varios,La fuente,6A,52,3
Punta y talón,Peninsula,7A,52,4
Dizdira,Los techos,7C,51,4
Gato con botas,Techos,7A+,51,3
Dos mandingas y un destino,Entreaguas,7A+,51,3
el espìritu del vino,Mezquita,7A+,51,4
TEC-B6-L6,Techos,6A,51,4
Flor de Loto,Mezquita,7B+,51,4
El badajo,Techos,7A,50,3
TEC-B50-L1,Techos,6B,50,3
ARR-B85-L3,Arrastradero,7B,50,2
