route name,sector name,grade,ascents,stars
souffle de bleau,Entre aguas,7B,4,5
El plus del Autobus,Fuente,7B,4,3
Zombieland,Arrastradero,7C,4,5
la regleta fantasma,Entre aguas,6C+,4,5
La Quilla,Unknown Crag,6C+,4,3
El cabron,Arrastradero,6C,4,5
RoofFriend,Unknown Crag,7A,4,2
El Parásito,Tierra media,6B+,4,5
Populus,Cabrerizo,5C,4,0
el mantelador,Valle de la madera,7A,4,3
el cameleon,Cabrerizo,5B,4,5
Implosion,Techos,7A,4,5
Dr. zoiberg,Fuente,7B,4,0
Varanito,Parking,6C+,4,5
N.N.,Entre aguas,6B+,4,3
Sinpa,Tierra media,6C,4,1
Variate del Redil,Entreaguas,7A,4,2
L' empotrament del lament,Arrastradero,6C+,4,1
New politics,Tierra media,6B,4,5
Teseracto,Arrastradero,6A,4,0
RoofFriend,Unknown Crag,7A,4,4
Don Hector,Cabrerizo,6A+,4,5
El afilador,Valle de la madera,7A+,4,4
Kuku,Arrastradero,5A,4,5
La raja,Arrastradero,5C,4,5
Principio Heissenberg,La fuente,6B+,4,4
Coleccionista de huesos,Mezquita,7B,4,0
Pirita Madre,Unknown Crag,7A,4,3
Invertebrado,La fuente,7A+,4,3
Lucha Continua,Techos,7A+,4,0
La letrina (direct),Parking,6C,4,3
La rodilla de Luxor,Unknown Crag,6A,4,3
Sol prometido,Techos,6C,4,1
souffle de bleau,Entre aguas,7B,4,1
El plus del Autobus,Fuente,7B,4,5
Zombieland,Arrastradero,7C,4,5
la regleta fantasma,Entre aguas,6C+,4,1
Baila el regletón,Arrastradero,6C,4,5
Atlas,Pinturas,7B,4,3
Ojo al lio,Arrastradero,6A,4,5
Rebota y bota,Tierra media,6C,4,0
Lance luengo,Tierra media,7C,4,4
Ineshakra,Unknown Crag,7C,3,0
prespectiva,Cabrerizo,6B+,3,0
Respect (Karmansia Direct),SOL,8A,3,3
Vivo en el presente,Unknown Crag,7B+,3,5
N.N.,Techitos,5C,3,3
El techo don pepo,Cabrerizo,7A,3,5
Vuelo Sin Moto,Unknown Crag,7A,3,1
TRAVESIA TECHO DON PEPO,Cabrerizo,7A,3,3
Mental Mantle,Arrastradero,6C+,3,0
Ninja no naces,SOL,7A,3,0
Cosmo,Peninsula,6C,3,0
T'Rul ou Quoi?,Unknown Crag,7A+,3,3
EL OJO DEL TIGRE,Unknown Crag,7C,3,0
El ocho Pinocho,Unknown Crag,6B,3,3
el efecto mariposa,La peninsula,7A+,3,0
sin porros,Los techos,7C+,3,5
Jabaloyas s.s.,Unknown Crag,7B+,3,0
Numerico la cabra,Unknown Crag,7B,3,5
La Oya,Unknown Crag,7C,3,3
Manu Chakra,Unknown Crag,7C,3,0
Lord Spolon,Unknown Crag,6A,3,0
4 mares,Techos,7A,3,0
N.N.,Techos,7A,3,0
Rompehombros,Techos,7A+,3,0
suspensión,Peninsula,7A+,3,0
Apeadero (stand up start),Arrastradero,7C+,3,1
linea enemiga,SOL,7A+,3,5
As ciegas,Techos,7A+,3,5
República,Peninsula,6B+,3,4
El topo,Arrastradero,6B,3,5
El filo del vuelo,Unknown Crag,6A,3,4
El garbancito,Unknown Crag,7B+,3,4
Garbancito,Unknown Crag,7B+,3,5
Salto base,Unknown Crag,6C+,3,0
Los Hawara,Unknown Crag,7A,3,5
Las manoplas,Unknown Crag,6C+,3,3
La fiesta del mantel,Unknown Crag,7A,3,0
boulder de la masia,Unknown Crag,8A,3,4
Motivos personales s.s.,Unknown Crag,7C+,3,5
Super Gratton,Unknown Crag,7A,3,4
TECHO 3D,Unknown Crag,7A,3,0
TECHO 3G,Unknown Crag,7B+,3,3
N.N.,Unknown Crag,7A+,3,3
el mito de la caverna,La peninsula,7C+,3,5
T'asllomares,Cabrerizo,6B+,3,3
ToniCoesfervescente,Arrastradero,7A,3,5
ines chakra,Unknown Crag,7B+,3,5
Carmansia,SOL,7B,3,2
Klem's traverse,Techos,8A,3,0
Travessia,SOL,7A,3,5
N.N.,Arrastradero,7B,3,5
N.N.,Parking,6A+,3,0
Pánico en el tunel,SOL,7A+,3,3
El señor de las moscas s.s.,SOL,7B,3,1
El Succinador,Arrastradero,7C,3,1
fatnacher,El Sol,7B,3,4
N.N.,Techos,7B,3,3
N.N.,colmena,7A+,3,0
Vivo en el presente,Techos,7C,3,4
izq. Metodo bizarro,Cabrerizo,7A+,3,0
Albarrasims,SOL,5C,3,3
Motivos personales s.s.,Penizula,7C+,3,0
N.N. (7B),Los techos,7B,3,0
rey leon,Peninsula,7A+,3,3
6cerrado,Unknown Crag,6C,3,3
"Voda, voda, los mi ziagn",Holzer,7A+,3,4
La lágrima (Salida directa),Arrastradero,6B+,3,4
Respect,Unknown Crag,8A,3,5
Frambuesa,Aeroline,7B,3,3
3g,Techo don pepo,7A,3,0
22c,Arrastradero,7A,3,0
techo???,Arrastradero,7A+,3,3
Sale Güevos,Unknown Crag,7B,3,0
El guardian entre el centeno,Tierra Baja,7B+,3,0
N.N. (Boulder 46-A),Arrastradero,6A,3,5
La plaqueta,Peninsula,3A,3,5
N.N. (11b),SOL,6B+,3,0
5 c,Aeroline,6A,3,3
17 b,SOL,7A+,3,0
Odomos,Parking,6A+,3,3
samson,SOL,6B,3,5
N.N. (boulder 1 b),Parking,7A,3,3
A Ciego,Techos,7B,3,3
El Pais de la Bicicletas,Arrastradero,7A,3,0
Tonicoefervescente,Unknown Crag,7A,3,3
Ninja te haces,El Sol,7B+,3,0
PAR-B6-L1,Sector parking,6A,3,4
Chilam Balam,Unknown Crag,6C,3,5
4. LAF-B11-L4,La fuente,6A,3,5
N.N.,Tierra media,6C+,3,3
Mazapan Power,Unknown Crag,7B+,3,5
Larista,Arrastradero,6A+,3,5
VDM-B35-L5,Valle de la madera,6C+,3,3
PEN-B21-L10,Peninsula,6C+,3,5
LAF-B2-L7,Unknown Crag,6C,3,2
TMA-B14-L3,Unknown Crag,7A+,3,5
VDM-B10-L1,Valle de la madera,6A+,3,5
Moonjump,Techos,6B,3,5
Ayllonada,Tierra media,7A+,3,5
quimera,Unknown Crag,8B,3,0
I have a present for you,La fuente,7B,3,5
Alba (sit),Arrastradero,7A,3,5
VDM-B11-L1,Valle de la madera,7A,3,5
calibre 25,Unknown Crag,7B,3,5
El reposo gaseoso,Unknown Crag,7A+,3,5
ARR-B36-L3,Tierra media,7B+,3,5
Avalancha,Colmenas,7B,3,1
CAB-B12-L1,Unknown Crag,7A+,3,0
PIN-B3-L1,Unknown Crag,7A+,3,0
N.N.,La fuente,6A,3,3
brainstorm l1,Techos,7A,3,5
ENA-B19-L1,Entre aguas,6A+,3,4
El camino del exceso,Mezquita,8A,3,3
La lavavajilladora,Mezquita,7B+,3,5
ENA-B21-L4,Unknown Crag,7A+,3,3
TMA-B2-L2,Tierra media,6B+,3,3
Zombie Nation (After break),Arrastradero,8A,3,2
1 TMA-B49-L1,Tierra media,6C,3,0
La arista,Arrastradero,6A+,3,0
La miel,Colmenas,7A+,3,4
Isengard,Tierra media,7A,3,3
B17-L1,Techos,6A,3,0
B18-L8,Techos,6A+,3,0
La miel,Mezquita,7A+,3,5
Gato con botas,Techos 1,7A+,3,3
el esquinazo sit,Arrastradero,7A,3,4
lance,Techos,6B+,3,5
Motivos personales s.s.,Peninsula,7C+,3,3
B8-l2,Psicokiller,6B,3,5
Piedra de los 7a,Peninsula,7A,3,3
El bomitador,Arrastradero,6C+,3,3
Hardware,Unknown Crag,7A,3,5
Desviacion,Techo don pepo,6B+,3,3
Linux,Parking,5C,3,5
TEC-B43-L4,Techos,6B+,3,0
lance t. don pepo,Techo don pepo,7A+,3,4
Comedia,Techos,6B,3,0
Wasame,Techos 1,7B,3,3
Vejacion,Techos,6A,3,2
Medusa,La fuente,6C,3,3
la siesta,Arrastradero,6C,3,3
Double mantel,Unknown Crag,7A+,3,5
La morrena,Parquing,6C,3,5
B18-L9,Techos,6B,3,5
B5-L3,Cabrerizo,6A,3,1
B5-L2,Cabrerizo,6A,3,0
B2-L6,Cabrerizo,6C,3,4
Corona,Unknown Crag,7B,3,3
El Cocodrilo,Techo don pepo,6A,3,2
Mordor,Tierra media,6B+,3,3
Gollum,Tierra media,6C,3,3
karma,Unknown Crag,7A,3,3
flash,Belleza,7B+,3,5
ARR-B26-L3,Arrastradero,6A,3,3
Un hueso duro de roer,La fuente,6C,3,3
Ámbar,Entreaguas,6C,3,5
Chilam balam,Techos 1,6B,3,5
León,Techos 1,7A,3,5
El Pino,Aeroline,5B,3,4
El Loco,Peninsula,6B+,3,5
Cojíu,La fuente,5C,3,4
La cosa,La fuente,5C,3,4
El puerco,La fuente,6A,3,5
Occupación,Parking,6A+,3,0
Los pezones de Lola,Unknown Crag,7A,3,5
Dado,Unknown Crag,6B+,3,3
Leon,Techos,7A,3,0
Borde,Peninsula,6B+,3,4
Hipódromo,Belleza,6A+,3,5
aeroline,Aeroline,7C,3,4
A ciegas,Techos 1,7A+,3,0
La Grieta,Techos,7A,3,3
Ilusion,Unknown Crag,6B+,3,3
Linea En Zigzag,Unknown Crag,7A,3,5
PEN-B9-L4,Peninsula,5B,3,3
Rifala,Techos,6B+,3,5
El Costillar,Techos,7A+,3,4
The musget (sit),Arrastradero,6B,3,5
PEN-B2-L2,Peninsula,6A,3,3
TEC-B30-L2,Techos,6C,3,5
TMA-B15-L1,Unknown Crag,6C+,3,0
La Ola,Unknown Crag,6C,3,3
ARR-B66-L4,Arrastradero,7B,3,5
El lance de Don Pepo,Cabrerizo,7A+,3,5
PSI-B9-L3,Psicokiller,7A,3,3
Azulete,Peninsula,6C,3,0
N.N.,Techos,7B,3,3
N.N.,colmena,7A+,3,1
Vivo en el presente,Techos,7C,3,0
izq. Metodo bizarro,Cabrerizo,7A+,3,0
Albarrasims,SOL,5C,3,5
Motivos personales s.s.,Penizula,7C+,3,0
N.N. (7B),Los techos,7B,3,0
rey leon,Peninsula,7A+,3,3
6cerrado,Unknown Crag,6C,3,5
"Voda, voda, los mi ziagn",Holzer,7A+,3,5
La lágrima (Salida directa),Arrastradero,6B+,3,4
Respect,Unknown Crag,8A,3,5
Frambuesa,Aeroline,7B,3,3
3g,Techo don pepo,7A,3,0
22c,Arrastradero,7A,3,0
techo???,Arrastradero,7A+,3,3
Sale Güevos,Unknown Crag,7B,3,0
El guardian entre el centeno,Tierra Baja,7B+,3,0
N.N. (Boulder 46-A),Arrastradero,6A,3,5
La plaqueta,Peninsula,3A,3,5
N.N. (11b),SOL,6B+,3,0
5 c,Aeroline,6A,3,3
17 b,SOL,7A+,3,0
Odomos,Parking,6A+,3,3
samson,SOL,6B,3,5
N.N. (boulder 1 b),Parking,7A,3,3
A Ciego,Techos,7B,3,3
El Pais de la Bicicletas,Arrastradero,7A,3,0
Tonicoefervescente,Unknown Crag,7A,3,3
Ninja te haces,El Sol,7B+,3,0
El bocadito,Arrastradero,7C,3,3
Corona,Los techos,7B,3,3
Homorgaster sds,Arrastradero,8A+,3,3
Supermafamacho,Techos,7A+,3,4
Ermitaño,Unknown Crag,7A+,3,3
Los placeres de la pobreza,Penin,7B,3,5
Frambuesa,aérline,8A,3,4
N.N. (Boulder 2 n° A),Techo don pepo,6C,3,3
La Arista del Anestesista,Arrastradero,7B,3,5
Frambuesa stand,Unknown Crag,7A,3,4
TEC-B12-L2,Techos,6A+,3,0
TEC-B48-L3,Techos,3B,3,2
gitanic,tierramedia,7C,3,0
Regleta cada 28 dias,Techos,6C,3,5
PSI-B5-L2,Unknown Crag,7B,3,0
ARR-B53-L1,Unknown Crag,7A,3,0
El tobogan de los enanos,Arrastradero,7A,3,0
Crisis,Techos,6B+,3,0
Espatadantzari,Arrastradero,6B+,3,2
TMA.B20-L1,Tierra media,6A+,3,1
Doctor Zoiberg,Fuente,7B+,3,1
team choped,Unknown Crag,7B+,3,0
midnight parking,Aeroline,7A,3,0
La viga de Bamako,Bezas,7A+,3,3
Gato con Botas,Unknown Crag,7A+,3,5
ENA-B13-L6,Unknown Crag,7A,3,4
Zooruyo,Parquing,7A,3,3
ARR-B16-L4,Unknown Crag,7A,3,5
Efecto Mariposa,La peninsula,7A+,3,3
sale guevos,Unknown Crag,7B,3,3
N.N. (Bloc 13-3),Entre aguas,6B,3,1
la rave,Parquing,7A,3,0
ejecutor,Arrastradero,6C+,3,5
N.N.,Techos,6B+,3,5
TMA-B50-L2 (el que te anima),Tierra media,7A+,3,1
Tec-b39-l4,Techos,7A,3,5
Nemon Nemon,Psicokiller,7A,3,3
Cuando tu vas yo volvo,Parking,3A,3,0
El esquinazo sit,Unknown Crag,7A,3,0
N.N. (Bloc 7-1),La fuente,6A,3,3
N.N.,Entre aguas,7A,3,4
Zoorooyo,Parking,7A,3,5
La lagrima(sit),Arrastradero,7A,3,5
No te confundas,Unknown Crag,7B,3,3
El succionador,Unknown Crag,7B,3,5
techo de la fuente,Fuente,7A+,3,3
lance al bidedo,Techos,7A+,3,0
El reloy de arena,Arrastradero,6C+,3,0
TMA-B21-L1,Tierra media,4C,3,0
Garaje,Parking,7B,3,5
Comedia,Techos,6B,3,0
Wasame,Techos 1,7B,3,4
Vejacion,Techos,6A,3,5
Medusa,La fuente,6C,3,0
la siesta,Arrastradero,6C,3,5
Double mantel,Unknown Crag,7A+,3,3
La morrena,Parquing,6C,3,5
B18-L9,Techos,6B,3,3
B5-L3,Cabrerizo,6A,3,5
B5-L2,Cabrerizo,6A,3,0
B2-L6,Cabrerizo,6C,3,5
Corona,Unknown Crag,7B,3,0
El Cocodrilo,Techo don pepo,6A,3,0
Mordor,Tierra media,6B+,3,5
Gollum,Tierra media,6C,3,0
karma,Unknown Crag,7A,3,3
flash,Belleza,7B+,3,3
ARR-B26-L3,Arrastradero,6A,3,5
Un hueso duro de roer,La fuente,6C,3,5
Ámbar,Entreaguas,6C,3,3
Chilam balam,Techos 1,6B,3,4
León,Techos 1,7A,3,0
El Pino,Aeroline,5B,3,0
El Loco,Peninsula,6B+,3,5
Cojíu,La fuente,5C,3,5
La cosa,La fuente,5C,3,1
El puerco,La fuente,6A,3,3
Occupación,Parking,6A+,3,0
Los pezones de Lola,Unknown Crag,7A,3,5
Dado,Unknown Crag,6B+,3,5
Leon,Techos,7A,3,4
Borde,Peninsula,6B+,3,5
Hipódromo,Belleza,6A+,3,5
aeroline,Aeroline,7C,3,0
A ciegas,Techos 1,7A+,3,1
La Grieta,Techos,7A,3,0
Ilusion,Unknown Crag,6B+,3,0
Linea En Zigzag,Unknown Crag,7A,3,5
PEN-B9-L4,Peninsula,5B,3,0
Rifala,Techos,6B+,3,5
Chilam Balam,Unknown Crag,6C,3,3
4. LAF-B11-L4,La fuente,6A,3,0
N.N.,Tierra media,6C+,3,5
Mazapan Power,Unknown Crag,7B+,3,5
Larista,Arrastradero,6A+,3,0
VDM-B35-L5,Valle de la madera,6C+,3,0
PEN-B21-L10,Peninsula,6C+,3,0
LAF-B2-L7,Unknown Crag,6C,3,2
TMA-B14-L3,Unknown Crag,7A+,3,3
VDM-B10-L1,Valle de la madera,6A+,3,5
Moonjump,Techos,6B,3,1
Ayllonada,Tierra media,7A+,3,0
quimera,Unknown Crag,8B,3,3
I have a present for you,La fuente,7B,3,0
Alba (sit),Arrastradero,7A,3,5
VDM-B11-L1,Valle de la madera,7A,3,3
calibre 25,Unknown Crag,7B,3,5
El reposo gaseoso,Unknown Crag,7A+,3,0
ARR-B36-L3,Tierra media,7B+,3,0
Avalancha,Colmenas,7B,3,3
los cachas no suben,Unknown Crag,7A+,3,3
fight club,Arrastradero,7B+,3,1
From lost to the top,Bezas,6C,3,2
Lansesito,Arrastradero,6B+,3,1
El pelabaras,Bezas,7B,3,5
ENA-B13-L2 (sit),Entre aguas,7A+,3,0
Rin Rin,Bezas,7A+,3,4
indian secret garden,Unknown Crag,8A,3,4
El Bisnes,Bezas,7B,3,3
la morrena,Unknown Crag,6C,3,0
El Redil,Unknown Crag,6C,3,4
CAB-B1-L6,Cabrerizo,6C,3,5
la fuente assis,Unknown Crag,8A,3,0
salto basico,Arrastradero,7A,3,0
PSI-B16-L3,Psicokiller,6A,3,4
LA Crack,Psicokiller,6C,3,3
percebe sin connection,Unknown Crag,7B,3,3
el tuteador,Techos,7B,3,0
colb21l1,Unknown Crag,7B+,3,5
yuste,Unknown Crag,7A+,3,5
TEC-B22-L2,Unknown Crag,5C,3,0
Percebe sin connection,Psicokiller,7B,3,5
ENA-B1-L6,Entreaguas,6C,3,0
PSI-B1-L2,Psicokiller,5A,3,4
PSI-B1-L7,Psicokiller,6B+,3,5
mi primer mantel,La fuente,6A,3,5
Barrio Sésamo,Acantilados,7B+,3,0
Buenos inversores,Arrastradero,6A,3,0
TEC-B11-L5,Unknown Crag,6C+,3,5
ENA-B14-L2,Entre aguas,6C+,3,3
TEC-B12-L2,Techos,6A+,3,2
TEC-B48-L3,Techos,3B,3,0
gitanic,tierramedia,7C,3,0
Regleta cada 28 dias,Techos,6C,3,0
PSI-B5-L2,Unknown Crag,7B,3,3
ARR-B53-L1,Unknown Crag,7A,3,4
El tobogan de los enanos,Arrastradero,7A,3,3
Crisis,Techos,6B+,3,4
Espatadantzari,Arrastradero,6B+,3,3
TMA.B20-L1,Tierra media,6A+,3,5
Doctor Zoiberg,Fuente,7B+,3,0
team choped,Unknown Crag,7B+,3,3
midnight parking,Aeroline,7A,3,3
La viga de Bamako,Bezas,7A+,3,1
Gato con Botas,Unknown Crag,7A+,3,2
ENA-B13-L6,Unknown Crag,7A,3,3
Zooruyo,Parquing,7A,3,2
ARR-B16-L4,Unknown Crag,7A,3,1
Efecto Mariposa,La peninsula,7A+,3,4
sale guevos,Unknown Crag,7B,3,5
N.N. (Bloc 13-3),Entre aguas,6B,3,5
la rave,Parquing,7A,3,5
ejecutor,Arrastradero,6C+,3,0
N.N.,Techos,6B+,3,3
TMA-B50-L2 (el que te anima),Tierra media,7A+,3,0
Tec-b39-l4,Techos,7A,3,0
Nemon Nemon,Psicokiller,7A,3,4
Cuando tu vas yo volvo,Parking,3A,3,0
El esquinazo sit,Unknown Crag,7A,3,5
N.N. (Bloc 7-1),La fuente,6A,3,1
N.N.,Entre aguas,7A,3,3
Zoorooyo,Parking,7A,3,5
movimiento arroita,Peninsula,7C+,3,5
Spindle,Techos 1,7A+,3,5
Chequilicuatre,Arrastradero,7C,3,0
ARR-B46-L3,Unknown Crag,6A,3,3
Choque hipoglucémico,Unknown Crag,6A+,3,1
TEC-B22-L4,Unknown Crag,6A+,3,4
fuyu,Colmenas,7C,3,4
Ineschakra stand,Arrastradero,7A,3,5
Raquel Sit,Unknown Crag,7B,3,0
Duende de los Cepillos,Unknown Crag,7B,3,3
The Indian Secret Garden Direct,Mezquita,8B,3,4
ARR-B62-L1,Arrastradero,6C,3,0
Redencion,Unknown Crag,7A+,3,0
Dibujante de regletas,Arrastradero,6C,3,2
Doble mantel,Techos,7A+,3,5
Orion,Unknown Crag,8A,3,3
espiritu del vino,Colmenas,7A+,3,0
N.N.,Bezas,6B+,3,4
viga de bamako,Bezas,7A+,3,5
Cañonero,El Canon,6C,3,3
Habibati you & I know,La fuente,6B+,3,5
exclafing,La fuente,6C,3,4
Cacerolo,Parking,6B,3,0
Subterraneo,Techos,7A+,3,5
Proyecto Misha,Unknown Crag,7A+,3,0
comodoro,Bezas,7A+,3,0
El pisacuellos,La fuente,6B,3,1
Iru,Arrastradero,6A,3,3
Guano,Tierra media,6B,3,5
Mecha rápida,Techos,6C,3,0
Contagio asiatico,Techos,6A,3,5
El esperpento,Arrastradero,5A,3,5
mantra de pie,Arrastradero,6C,3,5
Tanya Danchenko,Entre Tierras,6C+,3,1
El Chimpance,Unknown Crag,6B,3,4
N.N. (7a),Entre aguas,7A,3,5
La Regleta Fantasma,Entreaguas,7A,3,3
El veranazo,Valle de la madera,7A,3,4
Lince,Techos,7A,3,0
Twist,Parking,6B+,3,1
Dos mares,Techos,6A+,3,5
Indi,Arrastradero,7A,3,4
Bender el que ofender,Fuente,6A,3,0
Air France (sit),Tierra media,7A,3,3
Gorilas,Unknown Crag,7A,3,5
Facil imposible,La fuente,6C,3,3
N.N.,Arrastradero,7A+,3,3
Phantasmas,Mezquita,7B,3,5
trastamara,Arrastradero,6A+,3,3
viga de bamako,Bezas,7A+,3,3
Rave derecha,Parking,6B,3,3
Cañonero,El Canon,6C,3,0
Habibati you & I know,La fuente,6B+,3,0
exclafing,La fuente,6C,3,5
Boloñesa,Arrastradero,6B,3,5
Mantel en el tobillo,Techos,6C,3,0
Chinaski,La Mezquita,7A,3,2
Cacerolo,Parking,6B,3,0
Chequilicuatre,Arrastradero,7C,3,0
ARR-B46-L3,Unknown Crag,6A,3,3
Choque hipoglucémico,Unknown Crag,6A+,3,3
TEC-B22-L4,Unknown Crag,6A+,3,0
fuyu,Colmenas,7C,3,0
Ineschakra stand,Arrastradero,7A,3,0
Raquel Sit,Unknown Crag,7B,3,0
Duende de los Cepillos,Unknown Crag,7B,3,0
The Indian Secret Garden Direct,Mezquita,8B,3,3
ARR-B62-L1,Arrastradero,6C,3,4
Redencion,Unknown Crag,7A+,3,0
Dibujante de regletas,Arrastradero,6C,3,0
Doble mantel,Techos,7A+,3,5
Orion,Unknown Crag,8A,3,3
espiritu del vino,Colmenas,7A+,3,3
N.N.,Bezas,6B+,3,5
PAR-B19-L5,Parking,6C+,3,5
N.N. (Bloc 17),La fuente,6C,3,5
Virgueries,Cabrerizo,5C,3,4
Copa sta bisa,Arrastradero,8A,3,0
Mini Varano,Arrastradero,6A+,3,5
TicTac,Techos,6B,3,4
Lomo pipistrelo,La fuente,7B,3,0
Espíritu del vino,La Mezquita,7A+,3,5
Blc 2 line A,Pinturas,7B+,3,4
La fuente assis,La fuente,8A,3,4
Peregrin,Arrastradero,6B,3,3
Mojama,Techos,6C,3,1
La vira,Parking,7B,3,0
osteogenesis imperfecta,colmenas/mezquita,7C+,3,5
Stradivarius,Unknown Crag,8A,3,5
Biceps miau,Techos,6C,3,5
Titiriteros,Arrastradero,7A+,3,0
Flor de loto (De pie),Mezquita,7B,3,0
Twist,Parking,6B+,3,3
Facil imposible,La fuente,6C,3,5
tonicoefervecente,Arrastradero,7A,2,5
El apeadero s.s.,Arrastradero,7C,2,3
sciscerrado,Arrastradero,6B+,2,5
el suave balanceo,Arrastradero,7B,2,5
techos 43g,Techos,6B+,2,0
la lagrima de pie,Arrastradero,6C,2,5
ARR-B13-L1,Arrastradero,5B,2,5
Ramsteim,Arrastradero,7B,2,0
Tipicamente,Unknown Crag,6C,2,0
Cruelmente,Entreaguas,7B+,2,5
Filo sin motor,Techos,6B,2,4
Techo de los alemanes,Unknown Crag,7A,2,0
Wasame,Unknown Crag,7B,2,5
Atlas,pinturas buldestres,7B,2,3
Didiedro,terra media,7B+,2,0
variate del redil,Unknown Crag,7A,2,0
la placa roja,Unknown Crag,7A,2,0
ARR-B-84-L1,Arrastradero,6B,2,0
La Tortuga ext,Parking,6C+,2,0
Placa del chocolate,Entre aguas,7B,2,5
Alba,Unknown Crag,7A,2,4
El plus de l'Autobus,La fuente,6C+,2,5
N.N. (Block 45-1),Arrastradero,5C,2,0
N.N. (Block 11-12),La fuente,6A+,2,3
N.N. (Block 4-5),Parking,6A+,2,0
N.N. (Block 7-1),Parking,6B,2,3
N.N. (Block 4-4),Parking,6B,2,0
El último pegue,Bezas,7A,2,5
Arr b88 l2,Unknown Crag,7A,2,5
Choni de barrio,Entre aguas,6B,2,0
Manos Arriba,Bezas,7A,2,3
Tótem,Unknown Crag,7A+,2,3
El hombro escombro,Bezas,7A,2,5
Rin Rin,Unknown Crag,7A,2,3
Fan de las felpas,Unknown Crag,7A,2,5
Totem aka Plus del Autobus,Unknown Crag,7B,2,0
VDM-B35-L2,Valle de la madera,6B,2,5
Artista de los belgas,Arrastradero,7B,2,1
La carne de gollina,Unknown Crag,6C,2,5
Con el mantle en el bolsillo,La fuente,7A,2,0
tma-b3-l2,Unknown Crag,7B,2,5
mega mantle,Unknown Crag,7A,2,0
Muro de Lettor,Arrastradero,7A+,2,5
La evasión de los enanos,Unknown Crag,6C+,2,2
ENA-B13-L7,La fuente,6C+,2,4
Chincheta y chinrobellón,Unknown Crag,6A,2,3
ARR_B88_L2,Arrastradero,7A,2,0
Robabloques,Unknown Crag,6C,2,4
heini Holzer,Tierra media,7C,2,4
ENA-B1-L7,Unknown Crag,6B,2,0
ENA-B21-L2,Unknown Crag,6B+,2,5
Muro de Lettor,Unknown Crag,7A+,2,3
el astrolabio,Unknown Crag,7C,2,5
TEC-B10-L2,Unknown Crag,6B,2,0
ENA-B10-L4,Entre aguas,5C,2,3
ENA-B9-L3,Entreaguas,7A,2,5
TMA-B8-L4,Tierra media,6B,2,3
ARR-B61-L12,Arrastradero,4A,2,5
El pancanario,Unknown Crag,7A,2,4
Bloque 18 b,Parking,6A,2,3
Flia Höbich,Bezas,6C,2,0
ARR-B28-L4,Unknown Crag,6B+,2,5
Zarzamora (sit),Unknown Crag,7C+,2,4
Los cachas no suben,Techos,7B,2,5
Fandango,Arrastradero,7A+,2,3
Dere control de calidad,Peninsula,7A+,2,0
El intraveseable,T.Media,7B,2,0
Lance de Techos,Techos,7C,2,0
Leña al mono,Arrastradero,7A+,2,5
Es pa los niños,Acantilados,7B,2,2
Jitanik,Unknown Crag,7A+,2,4
El numerico la cabra,Unknown Crag,7B+,2,5
El libro,Unknown Crag,7C+,2,4
Techo Murcielago,Unknown Crag,7A,2,0
Psikokiller,Unknown Crag,7B,2,2
HEAD WALL,Unknown Crag,6C,2,5
percebe conexion,Unknown Crag,7A,2,3
Feeling Rewind,Unknown Crag,7C+,2,4
Molino del gato,Unknown Crag,6C+,2,3
zona parking,Unknown Crag,6A+,2,5
El Tirachinas,Unknown Crag,7A+,2,5
Techo,Unknown Crag,7C,2,0
orejas de regleta,Unknown Crag,8A,2,5
una trabve,Unknown Crag,6B,2,4
el hermitaño,Unknown Crag,7A+,2,0
El Superviviente,Unknown Crag,7B,2,5
Feeling Rewind,Tierra Baja,8A,2,5
superzafamacho,Unknown Crag,7B,2,5
Gratonismo craneoencefálico,Unknown Crag,7A,2,3
N.N. (Techo),Unknown Crag,7A,2,5
placa al costat carreró llançaments,Techos,5C,2,3
SERENITY,Unknown Crag,7C+,2,3
El Suave Balanceo,Unknown Crag,7B,2,0
TECHO BLOC 3 D,Unknown Crag,6C+,2,5
TECHO 4D,Unknown Crag,7B+,2,5
Cazotanks,Arrastradero,6B+,2,0
el rey leon,La peninsula,7B,2,5
modo ambiguo,Unknown Crag,6C+,2,5
sds boule,Parking,7A,2,3
N.N.,Unknown Crag,7B,2,3
Trave de la Campana,Techos,7B,2,3
La arista del anestesista,Unknown Crag,7B+,2,0
Panico en el tunel,El Sol,7A+,2,5
karmansia sentado,Unknown Crag,7C,2,1
zaitoitchi,Unknown Crag,7C,2,5
la chepa,Unknown Crag,6C+,2,3
N.N. (sector peninsula),Unknown Crag,7B+,2,3
inesharcra,Unknown Crag,7B,2,1
Placa Ivan,Unknown Crag,7A+,2,5
N.N. (på Techo),Unknown Crag,6C+,2,5
Techo,Techos,7A,2,0
N.N.,Techos (haut),6C+,2,3
gruyer,Arrastradero,6B+,2,0
Un bocadito te daría,Unknown Crag,7C,2,1
Jacuzzi,Unknown Crag,6C,2,5
O'Dynamismo,Unknown Crag,8A,2,0
Conexion Percebe,Unknown Crag,7A,2,0
Murcielago,Unknown Crag,6C,2,0
Campux,El Sol,7A,2,3
Los techos,Techos,7A+,2,0
NI idea,El Sol,6B+,2,4
N.N.,Arrastradero,7A,2,5
El espíritu del vino,Las colmenas,7A+,2,3
el circo del sol,El Sol,7B+,2,0
Don Limpio,Bezas,7A,2,5
camino del exceso,Colmenas,8A,2,0
ARR-B19-L2,Arrastradero,6A,2,0
Suicidio,Peninsula,6C,2,4
