_id,route name,sector name,grade,ascents,stars
5fd7950c6dfc313795a71be9,Tastavins,Espadelles,6c,170,3
5fd7950c6dfc313795a71bea,Six veu ques facil,Bloc del Pork,6b,169,3
5fd7950c6dfc313795a71beb,Jodida pero contenta,Can Dit Gros,7b,168,3
5fd7950c6dfc313795a71bec,El Fustigador,Finestra,8a+,165,4
5fd7950c6dfc313795a71bed,Piastic,Cingles del Molí,6b,163,3
5fd7950c6dfc313795a71bee,Delicatessen,Can Torxa,6c,161,3
5fd7950c6dfc313795a71bef,krilin,Can verdures,6b+,160,3
5fd7950c6dfc313795a71bf0,Rock and vol,Can regino,7a,160,4
5fd7950c6dfc313795a71bf1,Brigada Txocolata,Can Torxa,6c,159,3
5fd7950c6dfc313795a71bf2,Martini & the rocks,Ca La Marta,6a,158,2
5fd7950c6dfc313795a71bf3,Mas vale ser freky que maricòn de playa,Culample4,6c,157,4
5fd7950c6dfc313795a71bf4,El Batmóvil,Culample4,6c+,155,3
5fd7950c6dfc313795a71bf5,El free pendo,Can Torxa,6b+,154,3
5fd7950c6dfc313795a71bf6,Escalagmita,Can Torxa,6a+,154,3
5fd7950c6dfc313795a71bf7,Estilson,Can verdures,7a+,152,3
5fd7950c6dfc313795a71bf8,Flors i violes,"Camí de l'ermita",6b+,152,4
5fd7950c6dfc313795a71bf9,Jugant Get,"Camí de l'ermita",6c,152,3
5fd7950c6dfc313795a71bfa,Garotina,Finestra,7a,150,4
5fd7950c6dfc313795a71bfb,Chute emocional,Espadelles,7b+,150,4
5fd7950c6dfc313795a71bfc,Guybrush,Espadelles extension,7a,150,4
5fd7950c6dfc313795a71bfd,Meteora,Tenebres,6c+,148,3
5fd7950c6dfc313795a71bfe,Rocambolets,Ca La Marta,6b,145,3
5fd7950c6dfc313795a71bff,Camborius,Can Pesafigues,6a+,142,3
5fd7950c6dfc313795a71c00,Ballarín,Ca La Marta,6b,142,3
5fd7950c6dfc313795a71c01,repos actiu,Espadelles,6c+,142,3
5fd7950c6dfc313795a71c02,Bimbirinboies,Finestra,7b,140,3
5fd7950c6dfc313795a71c03,Jirs Prodigo,"Camí de l'ermita",6c,140,4
5fd7950c6dfc313795a71c04,Setareh,Raco de les Espadelles,6c,139,4
5fd7950c6dfc313795a71c05,Ni poc,Can verdures,7b,138,3
5fd7950c6dfc313795a71c06,Juli Vert,Can Torxa,6a+,137,2
5fd7950c6dfc313795a71c07,Lo Forum de les Postures,Cabernet,6c+,137,3
5fd7950c6dfc313795a71c08,Drac sheran,Can Pesafigues,6a,135,2
5fd7950c6dfc313795a71c09,Soc roig,"Camí de l'ermita",6a,135,3
5fd7950c6dfc313795a71c0a,Gotim Bru,"Balco de l'Ermita",7b,134,4
5fd7950c6dfc313795a71c0b,Figaflower,Can dit xic,7a,134,4
5fd7950c6dfc313795a71c0c,Les Artisans,Espadelles,7c,134,4
5fd7950c6dfc313795a71c0d,menisco hecho cisco,Ca La Marta,6c,133,3
5fd7950c6dfc313795a71c0e,Whiskey Compadre,Culample4,7c,132,4
5fd7950c6dfc313795a71c0f,Somiatruites,Can Torxa,6b+,132,3
5fd7950c6dfc313795a71c10,Perepunyetes,Espadelles,6b,132,3
5fd7950c6dfc313795a71c11,Entretres,Finestra,7a+,131,3
5fd7950c6dfc313795a71c12,Gravity globe,Espadelles,7c+,131,4
5fd7950c6dfc313795a71c13,Dando Brea,Finestra,8a,130,3
5fd7950c6dfc313795a71c14,La drecera,Espadelles,7b,129,3
5fd7950c6dfc313795a71c15,Printemps árabe,Ca La Marta,7b,129,3
5fd7950c6dfc313795a71c16,Bon rotllo,Cingles del Molí,6a,129,2
5fd7950c6dfc313795a71c17,Regino,Can regino,7a,127,3
5fd7950c6dfc313795a71c18,Matabichos,Espadelles,6b,124,2
5fd7950c6dfc313795a71c19,Gresca,Cabernet,7b+,123,4
5fd7950c6dfc313795a71c1a,Photo-shot,Laboratori,8b,123,3
5fd7950c6dfc313795a71c1b,El ball del triceps,Espadelles,8b,123,4
5fd7950c6dfc313795a71c1c,Dejà vu,Finestra,7c+,121,4
5fd7950c6dfc313795a71c1d,Pubilla,Ca La Marta,6b,120,3
5fd7950c6dfc313795a71c1e,Picus Pardus,"Camí de l'ermita",6a,120,3
5fd7950c6dfc313795a71c1f,Mirtoglicerina,"Balco de l'Ermita",7c+,119,4
5fd7950c6dfc313795a71c20,Coraje al Forao,Finestra,7a+,119,2
5fd7950c6dfc313795a71c21,Pepe Gotera y Otilio,Cingles del Molí,6b+,119,3
5fd7950c6dfc313795a71c22,Hard Crit,Catedral,8a,118,4
5fd7950c6dfc313795a71c23,El guardiá,Culample4,8a,118,4
5fd7950c6dfc313795a71c24,La Inviable,"Balco de l'Ermita",7c,116,4
5fd7950c6dfc313795a71c25,Banzaï sans le Bonsaï,Ca La Marta,7a,115,4
5fd7950c6dfc313795a71c26,Mañolita,Ca La Marta,7a,114,4
5fd7950c6dfc313795a71c27,Franja de ponent,Raco de les Espadelles,7a,114,3
5fd7950c6dfc313795a71c28,Que pasa neng?,Raco de les Espadelles,7a,114,3
5fd7950c6dfc313795a71c29,Minyons Forever,Reggae,6b,114,3
5fd7950c6dfc313795a71c2a,Segallosa,Cingles del Molí,6a,113,3
5fd7950c6dfc313795a71c2b,Ximpleta,Espadelles,8a,113,4
5fd7950c6dfc313795a71c2c,Txula hop,Ca La Marta,7a+,112,2
5fd7950c6dfc313795a71c2d,"No t'ho perdis",Espadelles extension,7b,112,4
5fd7950c6dfc313795a71c2e,Lacasitos de Merda,Ca La Marta,7a,111,3
5fd7950c6dfc313795a71c2f,Ktploptr,Finestra,7b+,111,3
5fd7950c6dfc313795a71c30,Miguel el Casero,Laboratori,7c+,111,3
5fd7950c6dfc313795a71c31,Penelope Cruz,Can Dit Gros,7c,110,4
5fd7950c6dfc313795a71c32,Siroko,Can Gueli,7a+,110,3
5fd7950c6dfc313795a71c33,Punto de gravedad cero,Espadelles,6b+,109,2
5fd7950c6dfc313795a71c34,Peus de plom,Chorreras,6c,109,3
5fd7950c6dfc313795a71c35,Júlia,"Camí de l'ermita",7b,109,3
5fd7950c6dfc313795a71c36,Tasmanian devil,Can Pesafigues,6b,107,3
5fd7950c6dfc313795a71c37,Shucran,Bloc del Pork,6a+,107,3
5fd7950c6dfc313795a71c38,Lo diedre del Guill,Finestra,6b+,107,3
5fd7950c6dfc313795a71c39,Mugronet,Tenebres,6c,106,3
5fd7950c6dfc313795a71c3a,Berberecho blues,Cingles del Molí,6c,106,3
5fd7950c6dfc313795a71c3b,In extremis,Espadelles,6c+,105,3
5fd7950c6dfc313795a71c3c,lolo cat,Chorreras,6b,105,3
5fd7950c6dfc313795a71c3d,rumbo tarugo,"Camí de l'ermita",6a,105,3
5fd7950c6dfc313795a71c3e,"L'home tranquil",Can Dit Gros,7a,105,4
5fd7950c6dfc313795a71c3f,Globetrotter,Espadelles,7b+,105,4
5fd7950c6dfc313795a71c40,Sarau Nocturn,Laboratori,8a,105,3
5fd7950c6dfc313795a71c41,Seca i meca,"Camí de l'ermita",6c,104,4
5fd7950c6dfc313795a71c42,Follet Tortuga,Can Torxa,5c,103,3
5fd7950c6dfc313795a71c43,La Traviesa,Tenebres,7b,102,3
5fd7950c6dfc313795a71c44,Piernodoyuna,Chorreras,6b,102,3
5fd7950c6dfc313795a71c45,Cubata chupito 3 euros,Finestra,8b,100,4
5fd7950c6dfc313795a71c46,Sabore di mare,Can dit xic,7b,100,4
5fd7950c6dfc313795a71c47,El gordinflón,Espadelles,7b,100,4
5fd7950c6dfc313795a71c48,Ment en blanc,Cova Soleiada,8a,99,3
5fd7950c6dfc313795a71c49,La divina colette,"Camí de l'ermita",6b,97,3
5fd7950c6dfc313795a71c4a,Estramonio pa polonio,Can regino,6b+,97,3
5fd7950c6dfc313795a71c4b,Vía del Pollo,Bloc del Pork,5b,97,3
5fd7950c6dfc313795a71c4c,Peus de moix,Can dit xic,7a+,97,4
5fd7950c6dfc313795a71c4d,Bony,Can regino,6c,97,3
5fd7950c6dfc313795a71c4e,Punt X,Cingle de les solanes,6b+,96,2
5fd7950c6dfc313795a71c4f,The Chemical brothers,Culample4,7a,96,4
5fd7950c6dfc313795a71c50,Innuendo,Espadelles,8a,96,4
5fd7950c6dfc313795a71c51,Bambola,Can dit xic,6c+,95,4
5fd7950c6dfc313795a71c52,La mía,Culample4,7a,95,3
5fd7950c6dfc313795a71c53,El foraster,Culample4,7a+,95,4
5fd7950c6dfc313795a71c54,"L'estibador",Can Pesafigues,6c,94,3
