_id,route name,sector name,grade,ascents,stars
5fd761366dfc313795a6c7c0,Spasiba + Iva,Aquest any sí,7a,266,3
5fd761366dfc313795a6c7c1,Les cadres regeneren,Gran Bóveda,8a,264,4
5fd761366dfc313795a6c7c2,Eliminator,Eliminator,7a,263,2
5fd761366dfc313795a6c7c3,Yo que me se,El Camino,6b,258,2
5fd761366dfc313795a6c7c4,La del taco,Las Ventanas del Mascun,7a+,258,2
5fd761366dfc313795a6c7c5,Comando coño,Gran Bóveda,7b+,256,4
5fd761366dfc313795a6c7c6,Fanthkes o panthere,Nuit de temps,7a,255,4
5fd761366dfc313795a6c7c7,Bonny,El Camino,6b+,250,2
5fd761366dfc313795a6c7c8,Ciao bambino,Pince Sans Rire,6b,249,3
5fd761366dfc313795a6c7c9,La Bruja de Blair,Las Ventanas del Mascun,7a+,240,3
5fd761366dfc313795a6c7ca,No Bouchon Spirit,Las Ventanas del Mascun,7c+,234,4
5fd761366dfc313795a6c7cb,Espirit Rebeld,Las Ventanas del Mascun,8b,234,4
5fd761366dfc313795a6c7cc,De bien nacidos,Egocentrismo,7a+,233,3
5fd761366dfc313795a6c7cd,No limit,La Surgencia,8a,232,4
5fd761366dfc313795a6c7ce,Steil ist geil,Bulder de Jon,7a+,224,3
5fd761366dfc313795a6c7cf,Vidal,El Camino,6c,224,2
5fd761366dfc313795a6c7d0,Marlen extralujo,Bikini,6c+,219,3
5fd761366dfc313795a6c7d1,Lina,La Surgencia,7a+,218,3
5fd761366dfc313795a6c7d2,Via viciosa,Bulder de Jon,7c+,218,3
5fd761366dfc313795a6c7d3,Montserrat,Las Ventanas del Mascun,8a+,217,4
5fd761366dfc313795a6c7d4,Futuras promesas,El Camino,6c,214,3
5fd761366dfc313795a6c7d5,Familia Manson,Familia Manson,8a+,210,3
5fd761366dfc313795a6c7d6,Paideia,La Surgencia,8a+,208,4
5fd761366dfc313795a6c7d7,Utopia,Cueva de las Escaleras,6c+,207,2
5fd761366dfc313795a6c7d8,Les vielles glories,Gran Bóveda,7c+,206,4
5fd761366dfc313795a6c7d9,Lo tienes claro,El Camino,7b,203,2
5fd761366dfc313795a6c7da,Afina con Cristina,Pince Sans Rire,7b+,200,3
5fd761366dfc313795a6c7db,Donde esta wally,El Camino,6c+,200,3
5fd761366dfc313795a6c7dc,Brumisatore,Cafè Solo,8a,200,3
5fd761366dfc313795a6c7dd,Daniel,Egocentrismo,7a+,199,3
5fd761366dfc313795a6c7de,Es de puta madre,Nuit de temps,7a+,198,4
5fd761366dfc313795a6c7df,gladiator,Gran Bóveda,8b,197,4
5fd761366dfc313795a6c7e0,Rebelion en la granja,Aquest any sí,8a,195,3
5fd761366dfc313795a6c7e1,A toru pasau,El delfin,7a+,195,3
5fd761366dfc313795a6c7e2,Amelie,Gran Bóveda,6c+,193,3
5fd761366dfc313795a6c7e3,La Vara De Florentino,Las Ventanas del Mascun,7c+,191,4
5fd761366dfc313795a6c7e4,City No,Alì Baba,7c+,191,3
5fd761366dfc313795a6c7e5,O3,La palomera,7a,190,4
5fd761366dfc313795a6c7e6,Lorien and the wailers,Bulder de Jon,7a+,189,2
5fd761366dfc313795a6c7e7,Bolskan,Furia Latina,6b,186,2
5fd761366dfc313795a6c7e8,Vlur,El Camino,6c,185,2
5fd761366dfc313795a6c7e9,Andrea,Familia Manson,6c+,182,3
5fd761366dfc313795a6c7ea,Balcón andaluz,Travesia de los Angeles,7a,180,4
5fd761366dfc313795a6c7eb,Evasion,La Surgencia,8a,179,4
5fd761366dfc313795a6c7ec,Geminis,Gran Bóveda,8b+,179,4
5fd761366dfc313795a6c7ed,Libera tu mente,Cueva de los cazadores,7b,177,4
5fd761366dfc313795a6c7ee,Las ventanas del Mascun,Las Ventanas del Mascun,7b+,176,3
5fd761366dfc313795a6c7ef,Pim Pam Plouf,Piscineta,7b+,175,4
5fd761366dfc313795a6c7f0,Buenos Comienzos,Las Ventanas del Mascun,7b,174,3
5fd761366dfc313795a6c7f1,Venin,Nuit de temps,7a+,173,2
5fd761366dfc313795a6c7f2,Mescalina tropical,Nuit de temps,7a,170,2
5fd761366dfc313795a6c7f3,Amistad,Las Ventanas del Mascun,7c+,169,4
5fd761366dfc313795a6c7f4,Recuerdos de mi abuelo,Bisagra,6b+,168,3
5fd761366dfc313795a6c7f5,Los hijos del viento,"Piton d'o Cuervo",7a+,168,3
5fd761366dfc313795a6c7f6,Pikku Kana,Pince Sans Rire,6c+,166,4
5fd761366dfc313795a6c7f7,Gran pablo,Egocentrismo,7b,165,4
5fd761366dfc313795a6c7f8,Ven abente,El Camino,6c+,160,2
5fd761366dfc313795a6c7f9,Objetivo M,Nuit de temps,6b+,160,4
5fd761366dfc313795a6c7fa,Savane exquise,Nuit de temps,6b,160,3
5fd761366dfc313795a6c7fb,Maldita codicia,Maldita Codicia,7c+,158,4
5fd761366dfc313795a6c7fc,Les Chacals,Pared de la Virgen,8b,155,4
5fd761366dfc313795a6c7fd,Dimes y Diretes,Pince Sans Rire,6c,154,3
5fd761366dfc313795a6c7fe,Para ti,Bikini,6a,152,2
5fd761366dfc313795a6c7ff,Friki diedro,La Surgencia,7a,150,3
5fd761366dfc313795a6c800,Botanics,Las Ventanas del Mascun,8b,149,4
5fd761366dfc313795a6c801,Abrete sesamo,Alì Baba,7a+,148,2
5fd761366dfc313795a6c802,Dogmatofobia,Bulder de Jon,7b+,146,3
5fd761366dfc313795a6c803,Tú que siempre nos esperas,Gran Bóveda,7c,146,3
5fd761366dfc313795a6c804,Porque,Bulder de Jon,7a+,144,3
5fd761366dfc313795a6c805,Aquiles,Gran Bóveda,7c+,144,4
5fd761366dfc313795a6c806,N.N.,La fuente,6a+,143,3
5fd761366dfc313795a6c807,Que majete,El Camino,5b,142,2
5fd761366dfc313795a6c808,N.N.,El Camino,6c,139,3
5fd761366dfc313795a6c809,Massive attack,Criminal Tango,6b+,138,3
5fd761366dfc313795a6c80a,Florida,La Surgencia,8b,135,4
5fd761366dfc313795a6c80b,Bebe gitano,Criminal Tango,6c+,135,4
5fd761366dfc313795a6c80c,Kompakt,La fuente,6b,135,2
5fd761366dfc313795a6c80d,Pieds nus sur la terre sacrée,Piscineta,8a,134,4
5fd761366dfc313795a6c80e,Aporia,La Surgencia,8a+,133,4
5fd761366dfc313795a6c80f,Que Barbarite,Aquest any sí,7b,132,3
5fd761366dfc313795a6c810,Maroskum,Gran Bóveda,7c+,131,3
5fd761366dfc313795a6c811,Upaah Pachico,Bulder de Jon,7b,130,3
5fd761366dfc313795a6c812,Cerveza de lujo,Furia Latina,7a,130,2
5fd761366dfc313795a6c813,A fregar,Eliminator,6a,128,1
5fd761366dfc313795a6c814,Cafe solo,Cafè Solo,7b+,128,3
5fd761366dfc313795a6c815,El ratón,La fuente,6a+,128,2
5fd761366dfc313795a6c816,Exitus acta probat,Bikini,7a+,127,3
5fd761366dfc313795a6c817,El guitarrista del cojón prieto,Bikini,6a,127,3
5fd761366dfc313795a6c818,Spasiba + Iva,Aquest any sí,7c+,126,3
5fd761366dfc313795a6c819,Ardilla,La fuente,6a,126,2
5fd761366dfc313795a6c81a,Como la prehistoria,Alì Baba,6c+,126,3
5fd761366dfc313795a6c81b,Iron man,La Surgencia,7b+,126,4
5fd761366dfc313795a6c81c,Tu aki no has venido a escalar,El delfin,6b+,125,3
5fd761366dfc313795a6c81d,Coup de machete,Nuit de temps,6b,124,3
5fd761366dfc313795a6c81e,Mire hacia arriba,El callejón,7b,123,3
5fd761366dfc313795a6c81f,Dharma,Bikini,5c,122,2
5fd761366dfc313795a6c820,Siglo XXI,Furia Latina,6a,121,2
5fd761366dfc313795a6c821,Los Maquis,Furia Latina,6b+,121,2
5fd761366dfc313795a6c822,La Kanabica,Gran Bóveda,8a+,121,4
5fd761366dfc313795a6c823,Noir Tango,Furia Latina,6b+,120,2
5fd761366dfc313795a6c824,La gatera,Las Ventanas del Mascun,7a,119,3
5fd761366dfc313795a6c825,Philipe Cuisinere,Las Ventanas del Mascun,8b,119,4
5fd761366dfc313795a6c826,El 7 me quitan la banqueta,Bulder de Jon,7a+,117,3
5fd761366dfc313795a6c827,Alter Ego,Gran Bóveda,8b,117,4
5fd761366dfc313795a6c828,Ixeia,Las Ventanas del Mascun,8b+,117,4
5fd761366dfc313795a6c829,Quimica,Pince Sans Rire,7a+,117,3
5fd761366dfc313795a6c82a,Juli-Buli,Eliminator,7a,115,2
5fd761366dfc313795a6c82b,Coach ou Tyran,Gran Bóveda,7c,114,3
5fd761366dfc313795a6c82c,Maskoking,Cueva de los cazadores,8a+,114,3
5fd761366dfc313795a6c82d,El Lado Oscuro de la Fuerza,Las Ventanas del Mascun,8a+,111,4
5fd761366dfc313795a6c82e,El beduino,Las Ventanas del Mascun,6b+,110,3
5fd761366dfc313795a6c82f,No hay pico con lagunas,Pince Sans Rire,6b+,110,3
5fd761366dfc313795a6c830,Pata negra,Las Ventanas del Mascun,8b+,109,4
5fd761366dfc313795a6c831,Alpinismo de salon,Bulder de Jon,7a+,108,2
5fd761366dfc313795a6c832,Cuca o crocodeal junky,Nuit de temps,6c,106,3
5fd761366dfc313795a6c833,Benita la bendita,Bisagra,6c,105,3
5fd761366dfc313795a6c834,Agamemnon,La fuente,6a,102,2
5fd761366dfc313795a6c835,Estampida,El Camino,7b,102,3
